text,link,type,time,file_name,id
"Приказ Минобрнауки России от 11 апреля 2018 г. № 384/нк «О выдаче дипломов доктора наук»(педагогические, психологические)",http://vak.ed.gov.ru/documents/10179/0/384%D0%BD%D0%BA.pdf/8d6da8ef-2581-41a6-b916-7792ea666ea9,доктор,11 апреля 2018,384нк.pdf,142
"Приказ Минобрнауки России от 11 апреля 2018 г. № 385/нк «О выдаче дипломов доктора наук»(технические, физико-математические)",http://vak.ed.gov.ru/documents/10179/0/385%D0%BD%D0%BA.pdf/51e5eba3-aa06-42a1-bb1a-d74b473bf9e1,доктор,11 апреля 2018,385нк.pdf,143
"Приказ Минобрнауки России от 11 апреля 2018 г. № 386/нк «О выдаче дипломов доктора наук»(биологические, медицинские)",http://vak.ed.gov.ru/documents/10179/0/386%D0%B0%D0%BD%D0%BA.pdf/c3ab1532-9e40-4074-b315-c8ad4d0d4f86,доктор,11 апреля 2018,386анк.pdf,144
Приказ Минобрнауки России от 11 апреля 2018 г. № 387/нк «О выдаче дипломов кандидата наук»(политические),http://vak.ed.gov.ru/documents/10179/0/387%D0%B0%D0%BD%D0%BA.pdf/0e804a35-540c-41c4-8ee5-05e6d3a60ef6,кандидат,11 апреля 2018,387анк.pdf,145
"Приказ Минобрнауки России от 11 апреля 2018 г. № 388/нк «О выдаче дипломов кандидата наук»(технические, географические, физико-математические, геолого-минералогические)",http://vak.ed.gov.ru/documents/10179/0/388%D0%B0%D0%BD%D0%BA.pdf/761827e1-f960-4f5b-92e4-47a8d51f5850,кандидат,11 апреля 2018,388анк.pdf,146
"Приказ Минобрнауки России от 11 апреля 2018 г. № 389/нк «О выдаче дипломов кандидата наук»(искусствоведение, филологические, социологические, философские)",http://vak.ed.gov.ru/documents/10179/0/389%D0%B0%D0%BD%D0%BA.pdf/d9184e62-612b-4775-bde6-fd3aa2040ac3,кандидат,11 апреля 2018,389анк.pdf,147
"Приказ Минобрнауки России от 11 апреля 2018 г. № 390/нк «О выдаче дипломов кандидата наук»(биологические, медицинские)",http://vak.ed.gov.ru/documents/10179/0/390%D0%B0%D0%BD%D0%BA.pdf/cfaab316-29bf-44b2-971e-2d61cae26571,кандидат,11 апреля 2018,390анк.pdf,148
"Приказ Минобрнауки России от 30 марта 2018 г. № 338/нк «О выдаче дипломов кандидата наук""(технические, физико-математические)",http://vak.ed.gov.ru/documents/10179/0/338%D0%B0%D0%BD%D0%BA.pdf/b168ebfe-d3b9-4e80-93cb-d3193e93d7be,кандидат,30 марта 2018,338анк.pdf,149
"Приказ о выдаче дипломов кандидата наук от 06 марта 2019 г. №171/нк(архит., геогр., геол-мин., физ-мат, хим.);",http://vak.ed.gov.ru/documents/10179/0/171_%D0%BD%D0%BA/31e85fff-6627-44d1-83db-bfd5e0b09ca0,кандидат,06 марта 2019,171_нк,15
"Приказ Минобрнауки России от 30 марта 2018 г. № 339/нк «О выдаче дипломов кандидата наук""(биологические, медицинские, фармацевтические)",http://vak.ed.gov.ru/documents/10179/0/339%D0%B0%D0%BD%D0%BA.pdf/cae280c3-477b-4a2f-8063-c55a990ee86f,кандидат,30 марта 2018,339анк.pdf,150
"Приказ Минобрнауки России от 29 марта 2018 г. № 314/нк «О выдаче дипломов доктора наук""(педагогические, психологические)",http://vak.ed.gov.ru/documents/10179/0/314%D0%BD%D0%BA.pdf/45004a61-aff9-47fc-a155-9508d21874b6,доктор,29 марта 2018,314нк.pdf,151
"Приказ Минобрнауки России от 29 марта 2018 г. № 313/нк «О выдаче дипломов кандидат наук""(биологические, сельско-хозяйственные)",http://vak.ed.gov.ru/documents/10179/0/313%D0%BD%D0%BA.pdf/6b35fc24-8912-4923-939c-7ff9bcf63a33,кандидат,29 марта 2018,313нк.pdf,152
"Приказ Минобрнауки России от 29 марта 2018 г. № 312/нк «О выдаче дипломов доктора наук""(физико-математические)",http://vak.ed.gov.ru/documents/10179/0/312%D0%BD%D0%BA.pdf/b64df5b0-ce49-41e8-8f2e-9b3378ad815d,доктор,29 марта 2018,312нк.pdf,153
"Приказ Минобрнауки России от 29 марта 2018 г. № 311/нк «О выдаче дипломов доктора наук""(биологические, медицинские, фармацевтические)",http://vak.ed.gov.ru/documents/10179/0/311%D0%BD%D0%BA.pdf/fd76df41-d188-4e0c-ab1b-588e117f78f7,доктор,29 марта 2018,311нк.pdf,154
"Приказ Минобрнауки России от 22 марта 2018 г. № 291/нк «О выдаче дипломов доктора наук""(исторические, культурология, филологические, философские, экономические)",http://vak.ed.gov.ru/documents/10179/0/291%D0%BD%D0%BA.pdf/4965fa99-9147-474f-b1d7-a5cc7a1c8181,доктор,22 марта 2018,291нк.pdf,155
"Приказ Минобрнауки России от 22 марта 2018 г. № 292/нк «О выдаче дипломов кандидат наук""(искусствоведение, исторические, экономические)",http://vak.ed.gov.ru/documents/10179/0/292%D0%BD%D0%BA.pdf/b19ef59b-1b67-4b9e-a24b-022b764ff219,кандидат,22 марта 2018,292нк.pdf,156
"Приказ Минобрнауки России от 22 марта 2018 г. № 293/нк «О выдаче дипломов кандидат наук""(культурология, социологические, филологические, философские)",http://vak.ed.gov.ru/documents/10179/0/293%D0%BD%D0%BA.pdf/27f34d7c-a954-411f-9827-f82f14217649,кандидат,22 марта 2018,293нк.pdf,157
"Приказ Минобрнауки России от 22 марта 2018 г. № 294/нк «О выдаче дипломов кандидат наук""(педагогические, политические, юридические)",http://vak.ed.gov.ru/documents/10179/0/Scan0245.pdf/e59aa942-27b7-4905-8329-3d74fdbc597a,кандидат,22 марта 2018,Scan0245.pdf,158
"Приказ Минобрнауки России от 22 марта 2018 г. № 295/нк «О выдаче дипломов кандидат наук""(технические)",http://vak.ed.gov.ru/documents/10179/0/295%D0%BD%D0%BA.pdf/0b21e48d-fe7a-47a0-bcd3-c1289d6fe4e3,кандидат,22 марта 2018,295нк.pdf,159
Приказ о выдаче дипломов кандидата наук от 06 марта 2019 г. №172/нк; (техн.),http://vak.ed.gov.ru/documents/10179/0/172_%D0%BD%D0%BA/87dfe033-c6cd-487d-b858-a44c8d5e26a5,кандидат,06 марта 2019,172_нк,16
"Приказ Минобрнауки России от 22 марта 2018 г. № 296/нк «О выдаче дипломов кандидат наук""(технические, физико-математические, химически)",http://vak.ed.gov.ru/documents/10179/0/296..pdf/e265b7df-a335-4c80-8fba-ac4c89906597,кандидат,22 марта 2018,296..pdf,160
"Приказ Минобрнауки России от 22 марта 2018 г. № 298/нк «О выдаче дипломов доктора наук""(биологические, ветеринарные, медицинские, сельско-хозяйственные)",http://vak.ed.gov.ru/documents/10179/0/298..pdf/67a08092-2926-4e12-9fe4-99cd36dc379c,доктор,22 марта 2018,298..pdf,161
"Приказ Минобрнауки России от 22 марта 2018 г. № 300/нк «О выдаче дипломов доктора наук""(технические)",http://vak.ed.gov.ru/documents/10179/0/300..pdf/5cf8e3fd-315d-49b6-9480-89881b389c52,доктор,22 марта 2018,300..pdf,162
